question,answer,label
What is ROE and why does Peter Lynch care about it?,"Return on Equity (ROE) measures how efficiently a company generates profit from shareholders' equity. It is calculated as Net Income divided by Shareholders' Equity. Peter Lynch valued ROE because it reveals management's ability to deploy capital effectively. He looked for companies with consistently high ROE — typically above 15% — as a sign of a durable competitive advantage. A company that earns 25% ROE year after year is compounding wealth for its shareholders far faster than one earning 8%.",Financial Ratios
What does ROA tell us about a company?,"Return on Assets (ROA) measures how profitably a company uses its total assets to generate earnings. It equals Net Income divided by Total Assets. Lynch used ROA to compare companies within the same industry. A manufacturing company with 10% ROA is highly efficient, while a bank with 1% ROA may be normal for its sector. Lynch preferred asset-light businesses with high ROA because they can grow without constantly reinvesting in expensive equipment or infrastructure.",Financial Ratios
How did Peter Lynch interpret the Debt-to-Equity ratio?,"The Debt-to-Equity ratio (D/E) compares a company's total debt to its shareholders' equity. Lynch was deeply suspicious of companies with high debt loads. He believed debt amplifies both gains and losses, and a highly leveraged company can be destroyed by a single bad year or a rise in interest rates. As a rule of thumb, Lynch preferred D/E below 80% for industrial companies. He famously said that a company with no debt cannot go bankrupt — debt is the enemy of the patient investor.",Financial Ratios
What is the Current Ratio and what does it reveal?,"The Current Ratio equals Current Assets divided by Current Liabilities. It measures whether a company can pay its short-term obligations using its short-term assets. Lynch viewed the current ratio as a basic liquidity check. A ratio above 2.0 indicates a financially safe company with a comfortable cushion. A ratio below 1.0 means the company owes more in the near term than it can readily pay — a potential red flag, especially during economic downturns.",Financial Ratios
Why is Profit Margin important to Peter Lynch?,"Profit Margin equals Net Income divided by Revenue. It tells you how many cents of profit a company keeps for every dollar of sales. Lynch paid close attention to profit margins because they reveal competitive strength. A company with 25% profit margins likely has pricing power and a real moat. He also watched for margin expansion — a company growing its margins over time is becoming more profitable even if revenue growth is modest. Conversely, shrinking margins in a Fast Grower are an early warning sign.",Financial Ratios
What is EPS Growth and how did Lynch use it to classify stocks?,"Earnings Per Share (EPS) Growth measures how fast a company is growing its per-share profits year over year. Lynch used earnings growth as the primary tool for classifying stocks into his six categories. Companies growing EPS above 20% annually are Fast Growers — his favorite hunting ground for ten-baggers. Companies growing 10 to 15% are Stalwarts. Below 5% are Slow Growers. He always checked whether EPS growth was sustainable by comparing it to the PEG ratio.",Financial Ratios
What is Revenue Growth and why does it matter alongside EPS Growth?,"Revenue Growth measures the year-over-year percentage increase in a company's total sales. Lynch considered revenue growth the foundation beneath earnings growth. A company that grows earnings by cutting costs without growing revenue is living on borrowed time. He preferred companies where both revenue and earnings were expanding together — that combination signals genuine business momentum rather than financial engineering.",Financial Ratios
What is the PEG ratio and why did Peter Lynch popularize it?,"The PEG ratio equals the Price-to-Earnings ratio divided by the annual EPS growth rate. Lynch popularized this metric in One Up on Wall Street as a simple way to judge whether a stock's valuation is justified by its growth. A PEG below 1.0 suggests the stock is undervalued relative to its growth — Lynch called this a bargain. A PEG above 2.0 means you are paying a steep premium for growth that may not materialize. The PEG is most useful for Fast Growers and Stalwarts.",Financial Ratios
How does Lynch interpret a PEG ratio below 0.5?,"A PEG ratio below 0.5 was Lynch's signal of a potential hidden gem — a stock where the market has significantly underpriced the company's earnings growth. This situation often arises in small-cap companies that Wall Street analysts have not yet discovered, or in cyclical companies at the bottom of their earnings cycle. Lynch described finding a stock with a PEG of 0.3 or 0.4 as the investing equivalent of finding a $50 bill on the sidewalk. These are the candidates most likely to become ten-baggers.",Financial Ratios
What does a PEG ratio above 2.0 indicate according to Lynch?,"A PEG ratio above 2.0 indicates that investors are paying a very high premium for expected growth. Lynch warned that at these valuations, the stock needs everything to go right — any earnings disappointment will cause a dramatic price decline. He was willing to own stocks with high PEGs only when he had exceptional conviction about the company's runway and had verified the growth story firsthand. For most investors, a PEG above 2.0 warrants extra scrutiny before buying.",Financial Ratios
