question,answer,label
When and where was Peter Lynch born?,Peter Lynch was born on January 19 1944 in Newton Massachusetts.,Personal Life
What is Peter Lynch's birth date?,Peter Lynch was born on January 19 1944 in Newton Massachusetts.,Personal Life
In which city and state was Peter Lynch born?,Peter Lynch was born on January 19 1944 in Newton Massachusetts.,Personal Life
What is Peter Lynch's full name?,His full name is Peter Lynch (he does not have a middle name publicly documented).,Personal Life
What is the complete name of the investor Peter Lynch?,His full name is Peter Lynch (he does not have a middle name publicly documented).,Personal Life
Does Peter Lynch have a middle name?,His full name is Peter Lynch (he does not have a middle name publicly documented).,Personal Life
Who were Peter Lynch's parents?,His father was Thomas Lynch and his mother's name was Mary Lynch.,Personal Life
What were the names of Peter Lynch's father and mother?,His father was Thomas Lynch and his mother's name was Mary Lynch.,Personal Life
Who were the parents of the famous investor Peter Lynch?,His father was Thomas Lynch and his mother's name was Mary Lynch.,Personal Life
What was Peter Lynch's father's occupation?,Thomas Lynch worked as a professor at Boston College.,Personal Life
What job did Peter Lynch's father have?,Thomas Lynch worked as a professor at Boston College.,Personal Life
What did Peter Lynch's father do for a living?,Thomas Lynch worked as a professor at Boston College.,Personal Life
How many children were in Peter Lynch's family?,He was one of six children in the Lynch family.,Personal Life
How many siblings did Peter Lynch have?,He was one of six children in the Lynch family.,Personal Life
What was the size of Peter Lynch's family growing up?,He was one of six children in the Lynch family.,Personal Life
What was the economic condition of Peter Lynch's family during his childhood?,The family struggled financially especially after his father's illness and death.,Personal Life
Was Peter Lynch's family wealthy when he was growing up?,The family struggled financially especially after his father's illness and death.,Personal Life
How would you describe Peter Lynch's childhood family finances?,The family struggled financially especially after his father's illness and death.,Personal Life
At what age did Peter Lynch's father get diagnosed with cancer?,His father Thomas was diagnosed with brain cancer when Peter was 7 years old.,Personal Life
How old was Peter Lynch when his father was diagnosed with brain cancer?,His father Thomas was diagnosed with brain cancer when Peter was 7 years old.,Personal Life
When was Peter Lynch's father first diagnosed with cancer?,His father Thomas was diagnosed with brain cancer when Peter was 7 years old.,Personal Life
How old was Peter Lynch when his father died?,He was 10 years old when his father passed away.,Personal Life
At what age did Peter Lynch lose his father?,He was 10 years old when his father passed away.,Personal Life
What was Peter Lynch's age at the time of his father's death?,He was 10 years old when his father passed away.,Personal Life
What illness caused Peter Lynch's father's death?,His father died of brain cancer.,Personal Life
What disease took Peter Lynch's father's life?,His father died of brain cancer.,Personal Life
How did Peter Lynch's father die?,His father died of brain cancer.,Personal Life
How did Peter Lynch's mother support the family after his father's death?,His mother went to work outside the home to support the six children.,Personal Life
What did Peter Lynch's mother do to earn money after her husband died?,His mother went to work outside the home to support the six children.,Personal Life
How did the Lynch family survive financially after the father's death?,His mother went to work outside the home to support the six children.,Personal Life
Did Peter Lynch have any relatives who were interested in the stock market?,No his uncle thought investing in stocks was like gambling in a dark alley and no one in his family understood stocks.,Personal Life
Was there anyone in Peter Lynch's family who followed the stock market?,No his uncle thought investing in stocks was like gambling in a dark alley and no one in his family understood stocks.,Personal Life
Did Peter Lynch come from a family of investors?,No his uncle thought investing in stocks was like gambling in a dark alley and no one in his family understood stocks.,Personal Life
Where did Peter Lynch grow up as a child?,He grew up in the Boston area specifically in Newton and later the suburbs of Boston.,Personal Life
What was Peter Lynch's childhood hometown?,He grew up in the Boston area specifically in Newton and later the suburbs of Boston.,Personal Life
In which region did Peter Lynch spend his childhood?,He grew up in the Boston area specifically in Newton and later the suburbs of Boston.,Personal Life
What was Peter Lynch's family's attitude toward the stock market?,His family had no interest in the stock market and viewed it with suspicion.,Personal Life
How did Peter Lynch's family view stock investing?,His family had no interest in the stock market and viewed it with suspicion.,Personal Life
Did Peter Lynch's family approve of stock market investing?,His family had no interest in the stock market and viewed it with suspicion.,Personal Life
How did Peter Lynch describe his family's financial situation growing up?,He described it as tight with his mother working hard to make ends meet.,Personal Life
What words did Peter Lynch use to describe his childhood finances?,He described it as tight with his mother working hard to make ends meet.,Personal Life
How would Peter Lynch characterize his family's money situation as a child?,He described it as tight with his mother working hard to make ends meet.,Personal Life
What was the age difference between Peter Lynch and his father at the time of his father's death?,His father died at age 46 when Peter was 10 years old.,Personal Life
How old was Peter Lynch's father when he passed away?,His father died at age 46 when Peter was 10 years old.,Personal Life
What were the ages of Peter Lynch and his father when the father died?,His father died at age 46 when Peter was 10 years old.,Personal Life
Did Peter Lynch's mother remarry after his father's death?,No publicly available records do not indicate that his mother remarried.,Personal Life
Did Peter Lynch ever get a stepfather?,No publicly available records do not indicate that his mother remarried.,Personal Life
Did Mary Lynch remarry after Thomas Lynch died?,No publicly available records do not indicate that his mother remarried.,Personal Life
What was Peter Lynch's relationship with his siblings like?,He was one of six children though specific details about his relationships with siblings are not widely documented.,Personal Life
Was Peter Lynch close to his brothers and sisters?,He was one of six children though specific details about his relationships with siblings are not widely documented.,Personal Life
How did Peter Lynch get along with his siblings?,He was one of six children though specific details about his relationships with siblings are not widely documented.,Personal Life
Where did Peter Lynch's family live in Newton Massachusetts?,Specific street address is not publicly documented but he grew up in the Newton area.,Personal Life
What was the specific address of Peter Lynch's childhood home?,Specific street address is not publicly documented but he grew up in the Newton area.,Personal Life
In which neighborhood of Newton did Peter Lynch live?,Specific street address is not publicly documented but he grew up in the Newton area.,Personal Life
Did Peter Lynch come from a wealthy family?,No his family struggled financially especially after his father's illness and death.,Personal Life
Was Peter Lynch born into a rich household?,No his family struggled financially especially after his father's illness and death.,Personal Life
Did the Lynch family have money when Peter was a child?,No his family struggled financially especially after his father's illness and death.,Personal Life
